Date,Open,High,Low,Close,Adj Close,Volume
1/7/2019,17.07,17.32,16.99,17.120001,9.360723,1763500
1/8/2019,17.290001,17.360001,17.200001,17.35,9.486481,1399000
1/9/2019,17.440001,17.51,17.34,17.5,9.568497,1583900
1/10/2019,17.42,17.49,17.27,17.34,9.481015,933100
1/11/2019,17.360001,17.469999,17.299999,17.43,9.530223,993200
1/14/2019,17.4,17.549999,17.389999,17.42,9.524755,890300
1/15/2019,17.41,17.559999,17.389999,17.52,9.579433,940300
1/16/2019,17.77,17.799999,17.620001,17.68,9.666915,1090000
1/17/2019,17.629999,17.77,17.59,17.77,9.716125,1155800
1/18/2019,17.799999,17.889999,17.65,17.76,9.710657,917700
1/22/2019,17.719999,17.76,17.459999,17.57,9.606771,1250600
1/23/2019,17.6,17.67,17.52,17.639999,9.645044,644200
1/24/2019,17.639999,17.74,17.58,17.709999,9.683318,702900
1/25/2019,17.77,17.790001,17.66,17.76,9.710657,673800
1/28/2019,17.75,17.82,17.690001,17.77,9.716125,882500
1/29/2019,17.780001,17.91,17.780001,17.879999,9.77627,570800
1/30/2019,17.9,18.07,17.799999,18.01,9.84735,703200
1/31/2019,17.99,18.200001,17.940001,18.200001,9.951238,1309100
2/1/2019,18.200001,18.209999,17.969999,18.110001,9.902027,949500
2/4/2019,18.129999,18.35,18.059999,18.35,10.033251,826800
2/5/2019,18.35,18.41,18.27,18.4,10.060592,677400
2/6/2019,18.4,18.42,18.24,18.379999,10.049654,773500
2/7/2019,18.34,18.5,18.34,18.459999,10.093395,1079900
2/8/2019,18.43,18.469999,18.24,18.450001,10.087931,1043600
2/11/2019,18.49,18.49,18.360001,18.450001,10.087931,830000
2/12/2019,18.459999,18.51,18.4,18.42,10.071528,1057500
2/13/2019,18.440001,18.49,18.309999,18.4,10.060592,1062100
2/14/2019,18.049999,18.219999,17.799999,17.9,9.787203,2538000
2/15/2019,17.940001,17.99,17.809999,17.9,9.787203,1590400
2/19/2019,17.9,18.059999,17.9,17.98,9.830947,1368100
2/20/2019,17.93,18.049999,17.84,18.049999,9.869223,790200
2/21/2019,18.040001,18.1,18.01,18.049999,9.869223,680700
2/22/2019,18.07,18.17,18.049999,18.139999,9.91843,908400
2/25/2019,18.219999,18.25,18.02,18.09,9.891093,961200
2/26/2019,18.09,18.15,18.040001,18.08,9.885624,531100
2/27/2019,18.07,18.15,17.93,18.129999,9.912961,532200
2/28/2019,18.129999,18.35,18.1,18.16,9.929365,1093300
3/1/2019,18.23,18.23,18.02,18.09,9.891093,797100
3/4/2019,18.110001,18.209999,18.049999,18.18,9.9403,892200
3/5/2019,18.16,18.280001,18.139999,18.219999,9.962173,571000
3/6/2019,18.24,18.299999,18.030001,18.07,9.880155,866700
3/7/2019,18.059999,18.16,18,18.01,9.84735,519500
3/8/2019,17.959999,18.049999,17.9,17.98,9.830947,717600
3/11/2019,18.059999,18.24,17.99,18.209999,9.956705,716700
3/12/2019,18.24,18.299999,18.200001,18.219999,9.962173,795300
3/13/2019,18.280001,18.450001,18.23,18.389999,10.055124,875400
3/14/2019,18.35,18.450001,18.35,18.41,10.066057,817000
3/15/2019,18.42,18.440001,18.299999,18.440001,10.082461,1874600
3/18/2019,18.440001,18.620001,18.389999,18.57,10.153542,1138000
3/19/2019,18.639999,18.65,18.42,18.440001,10.082461,734600
3/20/2019,18.4,18.51,18.290001,18.290001,10.000446,1453400
3/21/2019,18.309999,18.559999,18.309999,18.43,10.076995,963900
3/22/2019,18.389999,18.459999,18.35,18.360001,10.038721,977400
3/25/2019,18.370001,18.5,18.299999,18.34,10.027783,1116100
3/26/2019,18.43,18.559999,18.389999,18.530001,10.131671,1042400
3/27/2019,18.549999,18.610001,18.5,18.52,10.126204,1010500
3/28/2019,18.110001,18.24,18.08,18.24,10.22713,914600
3/29/2019,18.33,18.34,18.16,18.200001,10.204701,1441600
